id, part_id, price_usd, quantity
1,1,18.99,1
2,1,90.99,5
3,1,171.99,10
4,1,2044.99,125
5,1,3075.99,200
6,2,6.99,1
7,2,33.99,5
8,2,127.99,20
9,2,457.99,75
10,2,1350.99,250
11,3,10.99,1
12,3,260.99,25
13,3,722.99,75
14,3,920.99,100
15,3,2261.99,250
16,4,19.99,1
17,4,193.99,10
18,4,901.99,50
19,4,1730.99,100
20,4,3069.99,200
21,5,6.99,10
22,5,83.99,125
23,5,120.99,200
24,5,143.99,250
25,5,254.99,500
26,6,4.99,1
27,6,105.99,20
28,6,127.99,25
29,6,512.99,100
30,6,611.99,125
31,7,2.99,1
32,7,16.99,5
33,7,30.99,10
34,7,146.99,50
35,7,546.99,200
36,8,19.99,1
37,8,197.99,10
38,8,466.99,25
39,8,1301.99,75
40,8,7911.99,500
41,9,157.99,20
42,9,373.99,50
43,9,1382.99,200
44,9,1658.99,250
45,9,3176.99,500
46,10,6.99,1
47,10,35.99,5
48,10,339.99,50
49,10,450.99,75
50,10,561.99,100
51,11,79.99,10
52,11,153.99,20
53,11,187.99,25
54,11,356.99,50
55,11,854.99,125
56,12,108.99,5
57,12,210.99,10
58,12,485.99,25
59,12,1877.99,100
60,12,2303.99,125
61,13,32.99,5
62,13,61.99,10
63,13,453.99,75
64,13,721.99,125
65,13,2607.99,500
66,14,7.99,1
67,14,162.99,20
68,14,740.99,100
69,14,1645.99,250
70,14,3041.99,500
71,15,2.99,1
72,15,13.99,5
73,15,25.99,10
74,15,248.99,100
75,15,447.99,200
76,16,51.99,25
77,16,102.99,50
78,16,246.99,125
79,16,464.99,250
80,16,875.99,500
81,17,8.99,1
82,17,223.99,25
83,17,408.99,50
84,17,726.99,100
85,17,812.99,125
86,18,11.99,1
87,18,118.99,10
88,18,591.99,50
89,18,884.99,75
90,18,1158.99,100
91,19,16.99,1
92,19,82.99,5
93,19,151.99,10
94,19,729.99,50
95,19,1336.99,100
96,20,7.99,1
97,20,36.99,5
98,20,134.99,20
99,20,325.99,50
100,20,591.99,100
101,21,3.99,1
102,21,78.99,20
103,21,92.99,25
104,21,175.99,50
105,21,262.99,75
106,22,8.99,1
107,22,46.99,5
108,22,222.99,25
109,22,1633.99,200
110,22,4000.99,500
111,23,1233.99,75
112,23,1564.99,100
113,23,1856.99,125
114,23,3537.99,250
115,23,6514.99,500
116,24,104.99,5
117,24,200.99,10
118,24,371.99,20
119,24,451.99,25
120,24,1241.99,75
121,25,153.99,10
122,25,695.99,50
123,25,937.99,75
124,25,1184.99,100
125,25,2931.99,250
126,26,1063.99,75
127,26,1649.99,125
128,26,2393.99,200
129,26,2892.99,250
130,26,5318.99,500
131,27,76.99,5
132,27,284.99,20
133,27,348.99,25
134,27,661.99,50
135,27,1493.99,125
136,28,54.99,5
137,28,261.99,25
138,28,507.99,50
139,28,1217.99,125
140,28,2342.99,250
141,29,74.99,5
142,29,138.99,10
143,29,256.99,20
144,29,621.99,50
145,29,820.99,75
146,30,97.99,5
147,30,950.99,50
148,30,1378.99,75
149,30,2202.99,125
150,30,3511.99,200
151,31,11.99,1
152,31,57.99,5
153,31,219.99,20
154,31,1017.99,100
155,31,1789.99,200
156,32,6.99,5
157,32,13.99,10
158,32,66.99,50
159,32,238.99,200
160,32,579.99,500
161,33,0.99,1
162,33,2.99,5
163,33,43.99,75
164,33,52.99,100
165,33,122.99,250
166,34,2.99,1
167,34,76.99,25
168,34,208.99,75
169,34,522.99,200
170,34,601.99,250
171,35,14.99,1
172,35,70.99,5
173,35,327.99,25
174,35,3255.99,250
175,35,6110.99,500
176,36,73.99,50
177,36,109.99,75
178,36,285.99,200
179,36,353.99,250
180,36,691.99,500
181,37,93.99,5
182,37,888.99,50
183,37,2107.99,125
184,37,3095.99,200
185,37,3486.99,250
186,38,225.99,20
187,38,514.99,50
188,38,1014.99,100
189,38,1179.99,125
190,38,4281.99,500
191,39,38.99,10
192,39,186.99,50
193,39,277.99,75
194,39,357.99,100
195,39,649.99,200
196,40,2.99,5
197,40,4.99,10
198,40,51.99,100
199,40,61.99,125
200,40,116.99,250
201,41,65.99,5
202,41,121.99,10
203,41,235.99,20
204,41,533.99,50
205,41,969.99,100
206,42,212.99,10
207,42,483.99,25
208,42,881.99,50
209,42,2185.99,125
210,42,4336.99,250
211,43,190.99,10
212,43,347.99,20
213,43,1168.99,75
214,43,1404.99,100
215,43,6408.99,500
216,44,104.99,10
217,44,257.99,25
218,44,1021.99,100
219,44,1930.99,200
220,44,2236.99,250
221,45,319.99,25
222,45,896.99,75
223,45,1133.99,100
224,45,1351.99,125
225,45,2015.99,200
226,46,40.99,5
227,46,79.99,10
228,46,149.99,20
229,46,184.99,25
230,46,1369.99,200
231,47,2.99,1
232,47,83.99,25
233,47,234.99,75
234,47,611.99,200
235,47,1370.99,500
236,48,14.99,1
237,48,71.99,5
238,48,1787.99,125
239,48,3545.99,250
240,48,6816.99,500
241,49,2.99,1
242,49,17.99,5
243,49,32.99,10
244,49,166.99,50
245,49,300.99,100
246,50,7.99,1
247,50,82.99,10
248,50,774.99,100
249,50,1460.99,200
250,50,1646.99,250
251,51,19.99,1
252,51,507.99,25
253,51,994.99,50
254,51,1966.99,100
255,51,4808.99,250
256,52,18.99,1
257,52,371.99,20
258,52,438.99,25
259,52,819.99,50
260,52,2913.99,200
261,53,150.99,25
262,53,724.99,125
263,53,1132.99,200
264,53,1287.99,250
265,53,2378.99,500